relays,payload,messages
4,100,74217
4,1000,0
4,1000,0
4,1000,0
4,1000,0
4,1000,0
4,1000,11949
4,1000,16329
4,1000,16507
4,1000,14503
4,1000,15354
4,1000,16497
4,1000,16705
4,1000,16279
4,1000,16584
4,1000,16418
4,1000,16363
4,1000,15492
4,1000,12899
4,1000,14988
4,10000,0
4,10000,0
4,10000,0
4,10000,0
4,10000,0
4,10000,954
4,10000,1581
4,10000,1553
4,10000,1713
4,10000,1720
4,10000,1462
4,10000,1506
4,10000,1436
4,10000,1656
4,10000,1705
4,10000,1540
4,10000,1337
4,10000,1702
4,10000,1641
4,100000,0
4,100000,0
4,100000,0
4,100000,0
4,100000,0
4,100000,80
4,100000,128
4,100000,141
4,100000,163
4,100000,114
4,100000,127
4,100000,89
4,100000,153
4,100000,149
4,100000,84
4,100000,97
4,100000,103
4,100000,99
4,100000,80
4,1000000,0
4,1000000,0
4,1000000,0
4,1000000,0
4,1000000,0
4,1000000,21
4,1000000,18
4,1000000,18
4,1000000,19
4,1000000,18
4,1000000,18
4,1000000,19
4,1000000,21
4,1000000,22
4,1000000,20
4,1000000,19
4,1000000,19
4,1000000,19
4,1000000,19
4,10000000,0
4,10000000,0
4,10000000,0
4,10000000,0
4,10000000,0
4,10000000,1
4,10000000,3
4,10000000,2
4,10000000,2
4,10000000,3
4,10000000,2
4,10000000,2
4,10000000,3
4,10000000,2
4,10000000,2
4,10000000,2
4,10000000,3
4,10000000,2
4,10000000,3
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,86425
5,0,94367
5,0,110306
5,0,89333
5,0,88022
5,0,100497
5,0,109196
5,0,84531
5,0,102958
5,0,83724
5,0,94487
5,0,92926
5,0,100301
5,0,105832
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,94751
5,1,89137
5,1,107683
5,1,93889
5,1,104432
5,1,99876
5,1,99135
5,1,100651
5,1,98653
5,1,97558
5,1,94799
5,1,95607
5,1,91854
5,1,83963
5,10,0
5,10,0
5,10,0
5,10,0
5,10,0
5,10,0
5,10,85035
5,10,103468
5,10,94352
5,10,103151
5,10,85079
5,10,109388
5,10,104971
5,10,98234
5,10,96860
5,10,109548
5,10,86173
5,10,109128
5,10,102081
5,10,87403
5,100,0
5,100,0
5,100,0
5,100,0
5,100,0
5,100,0
5,100,61623
5,100,59945
5,100,53654
5,100,53878
5,100,55809
5,100,55816
5,100,59911
5,100,57216
5,100,54496
5,100,50121
5,100,53722
5,100,60513
5,100,60300
5,100,58971
5,1000,0
5,1000,0
5,1000,0
5,1000,0
5,1000,0
5,1000,0
5,1000,11963
5,1000,15933
5,1000,16108
5,1000,15829
5,1000,16104
5,1000,15989
5,1000,16014
5,1000,14418
5,1000,15989
5,1000,15760
5,1000,15841
5,1000,15093
5,1000,15333
5,1000,16006
5,10000,0
5,10000,0
5,10000,0
5,10000,0
5,10000,0
5,10000,0
5,10000,1231
5,10000,1613
5,10000,1555
5,10000,1661
5,10000,1671
5,10000,1661
5,10000,1656
5,10000,1624
5,10000,1643
5,10000,1679
5,10000,1640
5,10000,1651
5,10000,1658
5,10000,1645
5,100000,0
5,100000,0
5,100000,0
5,100000,0
5,100000,0
5,100000,0
5,100000,132
5,100000,184
5,100000,186
5,100000,183
5,100000,184
5,100000,183
5,100000,184
5,100000,183
5,100000,184
5,100000,185
5,100000,162
5,100000,138
5,100000,167
5,100000,185
5,1000000,0
5,1000000,0
5,1000000,0
5,1000000,0
5,1000000,0
5,1000000,0
5,1000000,18
5,1000000,18
5,1000000,17
5,1000000,21
5,1000000,18
5,1000000,17
5,1000000,18
5,1000000,17
5,1000000,17
5,1000000,18
5,1000000,18
5,1000000,17
5,1000000,21
5,1000000,18
5,10000000,0
5,10000000,0
5,10000000,0
5,10000000,0
5,10000000,0
5,10000000,0
5,10000000,1
5,10000000,2
5,10000000,3
5,10000000,2
5,10000000,2
5,10000000,2
5,10000000,3
5,10000000,2
5,10000000,2
5,10000000,3
5,10000000,2
5,10000000,2
5,10000000,2
5,10000000,2
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,72752
6,0,84446
6,0,75611
6,0,87484
6,0,90925
6,0,78014
6,0,84799
6,0,74251
6,0,80716
6,0,85792
6,0,76450
6,0,81735
6,0,76285
6,0,92991
6,1,0
6,1,0
6,1,0
6,1,0
6,1,0
6,1,0
6,1,0
6,1,70751
6,1,80940
6,1,86342
6,1,78474
6,1,94853
6,1,74316
6,1,78798
6,1,86665
6,1,82732
6,1,78538
6,1,74904
6,1,78839
6,1,83778
6,1,75527
6,10,0
6,10,0
6,10,0
6,10,0
6,10,0
6,10,0
6,10,0
6,10,68002
6,10,81137
6,10,83499
6,10,80176
6,10,80312
6,10,84183
6,10,81348
6,10,82494
6,10,84733
6,10,82819
6,10,77631
6,10,78842
6,10,72083
6,10,79862
6,100,0
6,100,0
6,100,0
6,100,0
6,100,0
6,100,0
6,100,0
6,100,49488
6,100,51327
6,100,50735
6,100,50830
6,100,49676
6,100,46898
6,100,42109
6,100,30825
6,100,31274
6,100,42236
6,100,44403
6,100,47318
6,100,45957
6,100,45804
6,1000,0
6,1000,0
6,1000,0
6,1000,0
6,1000,0
6,1000,0
6,1000,0
6,1000,12024
6,1000,15063
6,1000,15055
6,1000,14503
6,1000,13546
6,1000,14562
6,1000,15074
6,1000,14898
6,1000,13800
6,1000,15190
6,1000,14266
6,1000,14797
6,1000,14219
6,1000,14340
6,10000,0
6,10000,0
6,10000,0
6,10000,0
6,10000,0
6,10000,0
6,10000,0
6,10000,1309
6,10000,1693
6,10000,1651
6,10000,1691
6,10000,1529
6,10000,1687
6,10000,1668
6,10000,1662
6,10000,1681
6,10000,1690
6,10000,1646
6,10000,1714
6,10000,1655
6,10000,1645
6,100000,0
6,100000,0
6,100000,0
6,100000,0
6,100000,0
6,100000,0
6,100000,0
6,100000,121
6,100000,170
6,100000,171
6,100000,172
6,100000,172
6,100000,168
6,100000,167
6,100000,173
6,100000,173
6,100000,154
6,100000,163
6,100000,171
6,100000,171
6,100000,170
6,1000000,0
6,1000000,0
6,1000000,0
6,1000000,0
6,1000000,0
6,1000000,0
6,1000000,0
6,1000000,16
6,1000000,17
6,1000000,16
6,1000000,19
6,1000000,16
6,1000000,15
6,1000000,17
6,1000000,16
6,1000000,17
6,1000000,17
6,1000000,16
6,1000000,17
6,1000000,16
6,1000000,18
6,10000000,0
6,10000000,0
