relays,payload,messages
2,10000000,0
2,10000000,0
2,10000000,0
2,10000000,0
2,10000000,2
2,10000000,1
2,10000000,1
2,10000000,2
2,10000000,1
2,10000000,1
2,10000000,1
2,10000000,2
2,10000000,1
2,10000000,1
2,10000000,2
2,10000000,1
2,10000000,1
2,10000000,1
3,0,0
3,0,0
3,0,0
3,0,0
3,0,85652
3,0,115479
3,0,121084
3,0,106211
3,0,119786
3,0,100741
3,0,100436
3,0,108275
3,0,99921
3,0,105531
3,0,104170
3,0,113530
3,0,92851
3,0,83720
3,0,86132
3,1,0
3,1,0
3,1,0
3,1,0
3,1,91752
3,1,123194
3,1,114077
3,1,95191
3,1,110304
3,1,98723
3,1,120715
3,1,116753
3,1,94438
3,1,133979
3,1,98864
3,1,98600
3,1,119143
3,1,90587
3,1,104715
3,10,0
3,10,0
3,10,0
3,10,0
3,10,97706
3,10,109011
3,10,120859
3,10,109102
3,10,98949
3,10,116410
3,10,104923
3,10,125106
3,10,117100
3,10,110873
3,10,104440
3,10,133185
3,10,105517
3,10,112620
3,10,78256
3,100,0
3,100,0
3,100,0
3,100,0
3,100,62424
3,100,66637
3,100,69487
3,100,67197
3,100,66853
3,100,68102
3,100,66127
3,100,67713
3,100,67966
3,100,67699
3,100,67867
3,100,67102
3,100,68984
3,100,67517
3,100,66991
3,1000,0
3,1000,0
3,1000,0
3,1000,0
3,1000,11671
3,1000,11943
3,1000,11981
3,1000,11994
3,1000,11998
3,1000,11910
3,1000,12008
3,1000,11967
3,1000,11887
3,1000,11997
3,1000,11961
3,1000,11902
3,1000,11962
3,1000,11962
3,1000,11928
3,10000,0
3,10000,0
3,10000,0
3,10000,0
3,10000,1206
3,10000,1246
3,10000,1249
3,10000,1241
3,10000,1245
3,10000,1246
3,10000,1251
3,10000,1245
3,10000,1245
3,10000,1239
3,10000,1250
3,10000,1237
3,10000,1250
3,10000,1247
3,10000,1236
3,100000,0
3,100000,0
3,100000,0
3,100000,0
3,100000,121
3,100000,125
3,100000,125
3,100000,125
3,100000,125
3,100000,125
3,100000,124
3,100000,125
3,100000,125
3,100000,125
3,100000,125
3,100000,125
3,100000,124
3,100000,125
3,100000,124
3,1000000,0
3,1000000,0
3,1000000,0
3,1000000,0
3,1000000,12
3,1000000,12
3,1000000,13
3,1000000,12
3,1000000,13
3,1000000,12
3,1000000,13
3,1000000,13
3,1000000,12
3,1000000,13
3,1000000,12
3,1000000,13
3,1000000,12
3,1000000,13
3,1000000,13
3,10000000,0
3,10000000,0
3,10000000,0
3,10000000,0
3,10000000,0
3,10000000,2
3,10000000,1
3,10000000,1
3,10000000,2
3,10000000,1
3,10000000,1
3,10000000,1
3,10000000,2
3,10000000,1
3,10000000,1
3,10000000,1
3,10000000,2
3,10000000,1
3,10000000,1
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,63462
4,0,63759
4,0,86904
4,0,88253
4,0,89048
4,0,88656
4,0,98724
4,0,71685
4,0,68969
4,0,62874
4,0,91656
4,0,77242
4,0,91451
4,0,112390
4,0,85042
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,61601
4,1,77334
4,1,62247
4,1,56560
4,1,70495
4,1,93790
4,1,71755
4,1,77622
4,1,93091
4,1,95108
4,1,75684
4,1,70498
4,1,63285
4,1,84693
4,1,102255
4,10,0
4,10,0
4,10,0
4,10,0
4,10,0
4,10,73212
4,10,80134
4,10,84699
4,10,75999
4,10,109815
4,10,75687
4,10,82883
4,10,115320
4,10,72790
4,10,89391
4,10,72686
4,10,73690
4,10,87622
4,10,83889
4,10,103546
4,100,0
4,100,0
4,100,0
4,100,0
4,100,0
4,100,53023
4,100,58305
4,100,56736
4,100,58227
4,100,56575
4,100,56609
4,100,58422
4,100,57378
4,100,56715
4,100,60699
4,100,57292
4,100,58485
4,100,56956
4,100,55472
4,100,58804
4,1000,0
4,1000,0
4,1000,0
4,1000,0
4,1000,0
4,1000,11511
4,1000,11627
4,1000,11822
4,1000,11806
4,1000,11734
4,1000,11694
4,1000,11684
4,1000,11836
4,1000,11692
