relays,payload,rtt
0,10000,15156000
0,10000,14822000
0,10000,14994000
0,10000,15322000
0,10000,14916000
0,10000,14822000
0,10000,14959000
0,10000,15048000
0,10000,15306000
0,10000,14676000
0,10000,15331000
0,10000,14623000
0,10000,14988000
0,10000,15116000
0,10000,14786000
0,10000,15663000
0,10000,14410000
0,10000,14932000
0,10000,15354000
0,10000,14611000
0,10000,15077000
0,10000,15226000
0,10000,14964000
0,10000,14934000
0,10000,14905000
0,10000,14880000
0,10000,15703000
0,10000,14435000
0,10000,15132000
0,10000,14720000
0,10000,14959000
0,10000,15100000
0,10000,14978000
0,10000,15174000
0,10000,15130000
0,10000,14783000
0,10000,15225000
0,10000,14718000
0,10000,14939000
0,10000,14957000
0,10000,15296000
0,10000,14692000
0,10000,15230000
0,10000,15056000
0,10000,14835000
0,10000,15027000
0,10000,14778000
0,10000,15097000
0,10000,14962000
0,10000,15035000
0,10000,15093000
0,10000,15216000
0,10000,14609000
0,10000,15022000
0,10000,14960000
0,10000,15159000
0,10000,14897000
0,10000,15437000
0,10000,14564000
0,10000,15141000
0,10000,14937000
0,10000,14883000
0,10000,15210000
0,10000,14737000
0,10000,15009000
0,10000,14999000
0,10000,15072000
0,10000,15074000
0,10000,14984000
0,10000,15007000
0,10000,14870000
0,10000,15067000
0,10000,14931000
0,10000,15525000
0,10000,14533000
0,10000,14986000
0,10000,15008000
0,10000,14887000
0,10000,14986000
0,10000,15048000
0,10000,15124000
0,10000,14809000
0,10000,15099000
0,10000,15039000
0,10000,14931000
0,10000,15035000
0,10000,14959000
0,10000,15215000
0,10000,14944000
0,10000,15277000
0,10000,14570000
0,10000,14902000
0,100000,14937000
0,100000,9977000
0,100000,10140000
0,100000,10143000
0,100000,9736000
0,100000,9907000
0,100000,10200000
0,100000,9851000
0,100000,9963000
0,100000,10076000
0,100000,10219000
0,100000,9675000
0,100000,9985000
0,100000,9982000
0,100000,10020000
0,100000,10025000
0,100000,10203000
0,100000,9779000
0,100000,9977000
0,100000,10137000
0,100000,9954000
0,100000,14929000
0,100000,15150000
0,100000,14996000
0,100000,14930000
0,100000,9909000
0,100000,15424000
0,100000,14551000
0,100000,14977000
0,100000,14943000
0,100000,15312000
0,100000,14773000
0,100000,15010000
0,100000,15273000
0,100000,14706000
0,100000,15219000
0,100000,14862000
0,100000,15037000
0,100000,15063000
0,100000,15008000
0,100000,15099000
0,100000,14933000
0,100000,14948000
0,100000,14791000
0,100000,15007000
0,100000,15236000
0,100000,14959000
0,100000,14941000
0,100000,14971000
0,100000,14843000
0,100000,15004000
0,100000,14959000
0,100000,15155000
0,100000,14862000
0,100000,15002000
0,100000,15067000
0,100000,14952000
0,100000,15107000
0,100000,14896000
0,100000,15039000
0,100000,14885000
0,100000,15044000
0,100000,15093000
0,100000,14806000
0,100000,15103000
0,100000,14881000
0,100000,15146000
0,100000,14939000
0,100000,15118000
0,100000,14771000
0,100000,15123000
0,100000,14858000
0,100000,15151000
0,100000,14962000
0,100000,14989000
0,100000,15006000
0,100000,15197000
0,100000,14811000
0,100000,14880000
0,100000,15185000
0,100000,15141000
0,100000,14738000
0,100000,15051000
0,100000,15117000
0,100000,15142000
0,100000,14685000
0,100000,15245000
0,100000,14945000
0,100000,14793000
0,100000,14933000
0,100000,15059000
0,100000,15201000
0,100000,14717000
0,100000,15209000
0,100000,14811000
0,100000,15077000
0,100000,15078000
0,100000,14787000
0,100000,15292000
0,100000,14957000
0,1000000,14966000
0,1000000,15207000
0,1000000,14570000
0,1000000,15062000
0,1000000,15073000
0,1000000,14914000
0,1000000,15072000
0,1000000,14978000
0,1000000,15262000
0,1000000,14820000
0,1000000,14875000
0,1000000,14977000
0,1000000,15119000
0,1000000,14788000
0,1000000,15002000
0,1000000,15058000
0,1000000,14980000
0,1000000,15128000
0,1000000,14868000
0,1000000,15018000
0,1000000,14998000
0,1000000,14953000
0,1000000,15257000
0,1000000,14832000
0,1000000,14906000
0,1000000,15011000
0,1000000,14961000
0,1000000,14956000
0,1000000,15403000
0,1000000,14849000
0,1000000,14774000
0,1000000,14955000
0,1000000,15221000
0,1000000,15049000
0,1000000,15033000
0,1000000,14714000
0,1000000,14992000
0,1000000,14948000
0,1000000,15075000
0,1000000,14977000
0,1000000,15170000
0,1000000,14903000
0,1000000,14902000
0,1000000,14983000
0,1000000,15375000
0,1000000,14665000
0,1000000,14991000
0,1000000,15021000
0,1000000,14915000
0,1000000,15108000
0,1000000,14833000
0,1000000,15049000
0,1000000,15015000
0,1000000,15014000
0,1000000,15252000
0,1000000,14608000
0,1000000,15073000
0,1000000,14979000
0,1000000,14981000
0,1000000,15024000
0,1000000,15145000
0,1000000,14817000
0,1000000,14998000
0,1000000,15077000
0,1000000,14920000
0,1000000,15090000
0,1000000,15033000
0,1000000,14826000
0,1000000,15378000
0,1000000,14831000
0,1000000,15129000
0,1000000,14707000
0,1000000,14905000
0,1000000,15212000
0,1000000,14882000
0,1000000,14902000
0,1000000,14987000
0,1000000,15182000
0,1000000,15165000
0,1000000,15021000
0,1000000,14911000
0,1000000,14863000
0,1000000,14915000
0,1000000,14999000
0,1000000,14938000
0,1000000,14975000
0,1000000,14985000
0,1000000,15012000
0,1000000,15058000
0,1000000,15278000
0,1000000,14562000
0,1000000,15046000
0,1000000,14958000
0,1000000,15390000
0,1000000,14651000
0,1000000,14999000
0,1000000,15316000
0,1000000,14658000
0,1000000,15009000
0,1000000,14975000
0,10000000,65119000
0,10000000,74685000
0,10000000,65106000
0,10000000,70286000
0,10000000,69772000
0,10000000,59828000
0,10000000,60482000
0,10000000,59884000
0,10000000,60051000
0,10000000,59593000
0,10000000,60317000
0,10000000,64946000
0,10000000,64761000
0,10000000,69859000
0,10000000,75058000
0,10000000,65300000
0,10000000,69800000
0,10000000,75156000
0,10000000,64761000
0,10000000,69996000
0,10000000,65010000
0,10000000,55325000
